model,main_score_mean,main_score_std,category_macro_f1_mean,category_macro_f1_std,category_tail_f1_mean,category_tail_f1_std,opd_macro_f1_mean,opd_macro_f1_std
TopK=50,0.1346,0.0211,0.1206,0.023,0.1268,0.0343,0.1693,0.0126
TopK=10,0.1263,0.0199,0.1131,0.0174,0.1201,0.0363,0.1578,0.0312
No Temporal,0.1261,0.0155,0.1193,0.0156,0.1098,0.0233,0.1581,0.012
TopK=20,0.126,0.0144,0.1138,0.0214,0.1189,0.0239,0.1566,0.0236
No Retrieval,0.1237,0.0141,0.1143,0.01,0.113,0.0248,0.1534,0.0126
No Spatial,0.1232,0.0207,0.1139,0.0142,0.1056,0.032,0.161,0.0258
TopK=5,0.1232,0.0072,0.1124,0.0106,0.1115,0.0186,0.1565,0.0125
Multi Task,0.123,0.0088,0.1125,0.0087,0.1166,0.0228,0.1493,0.019
No OPD Nodes,0.1189,0.0191,0.1076,0.026,0.1055,0.0159,0.1551,0.0126
Single Task,0.0928,0.0075,0.1225,0.0119,0.123,0.0204,0.0032,0.0016
