regime,cell,model,category_macro_f1,category_tail_f1,opd_macro_f1,main_score
blind,app_to_app,GRACE-Core-FT,0.1817,0.1429,0.2046,0.1758
blind,app_to_app,B-E5-FT,0.2472,0.1429,0.2647,0.2203
blind,app_to_app,B-SVM,0.2048,0.0,0.2636,0.1581
blind,sosmed_to_sosmed,GRACE-Core-FT,0.2693,0.2344,0.3881,0.2885
blind,sosmed_to_sosmed,B-E5-FT,0.3047,0.2121,0.4691,0.318
blind,sosmed_to_sosmed,B-SVM,0.2867,0.1993,0.417,0.2931
blind,app_to_sosmed,GRACE-Core-FT,0.1124,0.0952,0.0698,0.0966
blind,app_to_sosmed,B-E5-FT,0.1286,0.0476,0.0681,0.0892
blind,app_to_sosmed,B-SVM,0.1124,0.0,0.0451,0.0618
blind,sosmed_to_app,GRACE-Core-FT,0.2265,0.0755,0.1768,0.1688
blind,sosmed_to_app,B-E5-FT,0.2366,0.0609,0.1869,0.1715
blind,sosmed_to_app,B-SVM,0.232,0.0528,0.1366,0.1544
blind,pooled,GRACE-Core-FT,0.2576,0.2697,0.253,0.2601
blind,pooled,B-E5-FT,0.2968,0.2277,0.3078,0.2788
blind,pooled,B-SVM,0.2628,0.1751,0.2803,0.2409
aware,app_to_app,GRACE-Core-FT,0.1948,0.1429,0.2191,0.1853
aware,app_to_app,B-E5-FT,0.2128,0.1429,0.2406,0.1988
aware,app_to_app,B-SVM,0.2048,0.0,0.2636,0.1581
aware,sosmed_to_sosmed,GRACE-Core-FT,0.2564,0.2388,0.4131,0.2903
aware,sosmed_to_sosmed,B-E5-FT,0.3241,0.2304,0.493,0.3382
aware,sosmed_to_sosmed,B-SVM,0.2867,0.1993,0.417,0.2931
aware,app_to_sosmed,GRACE-Core-FT,0.1037,0.2041,0.0564,0.122
aware,app_to_sosmed,B-E5-FT,0.0883,0.0,0.0609,0.055
aware,app_to_sosmed,B-SVM,0.1124,0.0,0.0451,0.0618
aware,sosmed_to_app,GRACE-Core-FT,0.1932,0.0553,0.1463,0.1401
aware,sosmed_to_app,B-E5-FT,0.2231,0.052,0.1826,0.1617
aware,sosmed_to_app,B-SVM,0.232,0.0528,0.1366,0.1544
aware,pooled,GRACE-Core-FT,0.2382,0.2545,0.332,0.2665
aware,pooled,B-E5-FT,0.3094,0.2357,0.2992,0.2847
aware,pooled,B-SVM,0.2628,0.1751,0.2803,0.2409
